domain,title,description
ebay.com,"Electronics, Cars, Fashion, Collectibles &amp; More | eBay","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items."
ebay.uk,error: ,
ebay.de,"Elektronik, Autos, Mode, Sammlerstücke, Möbel und mehr Online-Shopping | eBay","Kaufen und verkaufen Sie Elektronikartikel, Autos, Kleidung, Mode, Sammlerstücke, Sportartikel, Digitalkameras, Babyartikel, Gutscheine und vieles mehr bei eBay, dem weltweiten Online-Marktplatz."
paypal.com,"Pay, Send and Save Money with PayPal | PayPal US","From paying friends to saving money or getting cash back when you shop, explore what the new PayPal app has to offer."
adyen.com,Engineered for ambition - Adyen,"End-to-end payments, data, and financial management in one solution. Meet the financial technology platform that helps you realize your ambitions faster."
takeaway.com,Just a moment...,Just a moment...Enable JavaScript and cookies to continue
syf.com,"Credit Cards, Financing, Marketplace, Banking & More - Synchrony","Find great deals, promotional offers, credit cards, savings products, payment solutions, and more. See how Synchrony can help you today!"
pay1.de,error: Cannot connect to host pay1.de:443 ssl:default [No address associated with hostname],
etsy.com,etsy.com,Please enable JS and disable any ad blocker
ebay.au,"Electronics, Cars, Fashion, Collectibles &amp; More | eBay","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items."
google.com,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for."
spotify.com,Spotify - Web Player: Music for everyone,Spotify is a digital music service that gives you access to millions of songs.
landsend.com,"Lands' End: Quality Clothing, Apparel, Swimwear and Footwear","Lands' End is a classic American lifestyle brand with a passion for quality, legendary service & real value. We seek to deliver timeless style for women, men, kids and the home. Shop lasting quality swimsuits, outerwear, apparel, home décor & more."
ryanair.com,"error: 400, message='Got more than 8190 bytes (9368) when reading Header value is too long.', url='https://www.ryanair.com/us/en'",
xoom.com,"Send Money Online | Xoom, a PayPal Service",Transfer money online securely and easily with Xoom and save on money transfer fees. Wire money to a bank account in minutes or pick up cash at thousands of locations.
ebay.it,eBay | Il Marketplace delle passioni,"Offerte imperdibili su nuovo, usato e ricondizionato da negozi e venditori privati. Compra e vendi elettronica, videogiochi, collezionismo, accessori auto&moto, arredamento, e tanto altro. eBay. Un’altra storia."
computop-paygate.com,Attention Required! | Cloudflare,"This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data."
temu.com,Temu,activity banner
stripe.com,Stripe | Financial Infrastructure to Grow Your Revenue,Stripe is a suite of APIs powering online payment processing and commerce solutions for internet businesses of all sizes. Accept payments and scale faster with AI.
recaptcha.net,Error 404 (Not Found)!!1,404. That’s an error.The requested URL was not found on this server. That’s all we know.
worldpay.com,Worldpay: Unleash Your Payments Potential,We power global commerce by providing exceptional payments technology and expertise to businesses. Find out how Worldpay can help you.
netflix.com,"Netflix - Watch TV Shows Online, Watch Movies Online","Watch Netflix movies & TV shows online or stream right to your smart TV, game console, PC, Mac, mobile, tablet and more."
cardinalcommerce.com,Visa Protect – Enterprise-wide Risk Solutions | Visa,"Visa Protect solutions help prevent fraud across the entire payment journey, across all payment endpoints and networks—without stopping the flow of business."
g2a.com,error: ,
bandcamp.com,Bandcamp,Discover amazing music and directly support the artists who make it.
